IND_UUID,IND_NAME,IND_CODE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME,DIM_TIME_TYPE,DIM_SEX,DIM_VALUE_TYPE,VALUE_NUMERIC,VALUE_NUMERIC_LOWER,VALUE_NUMERIC_UPPER,DIM_PUBLISH_STATE_CODE
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,954,Americas,2000,YEAR,Male,RATE_PER_100000,34.2813,31.94703,36.78133,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,784,United Arab Emirates,2000,YEAR,Total,RATE_PER_100000,1.49497,0.82851,2.48881,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,784,United Arab Emirates,2000,YEAR,Female,RATE_PER_100000,0.49128,0.25048,0.8586,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,784,United Arab Emirates,2000,YEAR,Male,RATE_PER_100000,1.97708,1.10616,3.27185,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,32,Argentina,2000,YEAR,Total,RATE_PER_100000,7.38351,6.56368,8.28132,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,32,Argentina,2000,YEAR,Female,RATE_PER_100000,2.17988,1.88328,2.51378,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,32,Argentina,2000,YEAR,Male,RATE_PER_100000,12.90157,11.5269,14.39738,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,51,Armenia,2000,YEAR,Total,RATE_PER_100000,4.48835,3.51153,5.63557,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,51,Armenia,2000,YEAR,Female,RATE_PER_100000,1.82354,1.33957,2.41375,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,51,Armenia,2000,YEAR,Male,RATE_PER_100000,7.50039,5.9665,9.27721,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,28,Antigua and Barbuda,2000,YEAR,Total,RATE_PER_100000,4.20235,3.13845,5.50049,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,28,Antigua and Barbuda,2000,YEAR,Female,RATE_PER_100000,1.20694,0.88739,1.60385,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,28,Antigua and Barbuda,2000,YEAR,Male,RATE_PER_100000,7.58253,5.67867,9.89766,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,36,Australia,2000,YEAR,Total,RATE_PER_100000,1.64897,1.3917,1.94218,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,36,Australia,2000,YEAR,Female,RATE_PER_100000,1.28207,1.06436,1.53061,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,36,Australia,2000,YEAR,Male,RATE_PER_100000,2.01758,1.72058,2.35567,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,40,Austria,2000,YEAR,Total,RATE_PER_100000,1.00921,0.81945,1.22796,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,40,Austria,2000,YEAR,Female,RATE_PER_100000,0.95362,0.77398,1.1638,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,40,Austria,2000,YEAR,Male,RATE_PER_100000,1.06816,0.86767,1.29599,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,31,Azerbaijan,2000,YEAR,Total,RATE_PER_100000,3.06715,2.25482,4.06721,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,31,Azerbaijan,2000,YEAR,Female,RATE_PER_100000,1.04838,0.71424,1.47969,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,31,Azerbaijan,2000,YEAR,Male,RATE_PER_100000,5.17733,3.86517,6.7719,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,108,Burundi,2000,YEAR,Total,RATE_PER_100000,5.56637,3.5283,8.46907,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,108,Burundi,2000,YEAR,Female,RATE_PER_100000,2.80215,1.7879,4.30114,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,108,Burundi,2000,YEAR,Male,RATE_PER_100000,8.4321,5.33262,12.79005,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,56,Belgium,2000,YEAR,Total,RATE_PER_100000,2.01448,1.67206,2.39956,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,56,Belgium,2000,YEAR,Female,RATE_PER_100000,1.60806,1.31785,1.93339,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,56,Belgium,2000,YEAR,Male,RATE_PER_100000,2.43804,2.04121,2.8854,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,204,Benin,2000,YEAR,Total,RATE_PER_100000,7.39511,3.70882,13.27775,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,204,Benin,2000,YEAR,Female,RATE_PER_100000,3.4106,1.61543,6.37286,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,204,Benin,2000,YEAR,Male,RATE_PER_100000,11.49769,5.86424,20.38724,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,854,Burkina Faso,2000,YEAR,Total,RATE_PER_100000,10.4896,5.22618,18.30463,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,854,Burkina Faso,2000,YEAR,Female,RATE_PER_100000,5.77503,2.99418,10.01444,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,854,Burkina Faso,2000,YEAR,Male,RATE_PER_100000,15.37336,7.53829,26.89235,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,50,Bangladesh,2000,YEAR,Total,RATE_PER_100000,3.04669,2.09816,4.34255,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,50,Bangladesh,2000,YEAR,Female,RATE_PER_100000,1.90345,1.26676,2.75349,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,50,Bangladesh,2000,YEAR,Male,RATE_PER_100000,4.12837,2.8848,5.84604,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,100,Bulgaria,2000,YEAR,Total,RATE_PER_100000,3.82926,3.2199,4.52426,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,100,Bulgaria,2000,YEAR,Female,RATE_PER_100000,2.07168,1.70072,2.50453,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,100,Bulgaria,2000,YEAR,Male,RATE_PER_100000,5.67817,4.81803,6.64896,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,48,Bahrain,2000,YEAR,Total,RATE_PER_100000,1.5946,0.98251,2.43759,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,48,Bahrain,2000,YEAR,Female,RATE_PER_100000,1.63247,0.99033,2.54048,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,48,Bahrain,2000,YEAR,Male,RATE_PER_100000,1.56644,0.97669,2.36111,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,44,Bahamas,2000,YEAR,Total,RATE_PER_100000,20.18277,16.36664,24.68913,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,44,Bahamas,2000,YEAR,Female,RATE_PER_100000,5.88144,4.40128,7.67857,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,44,Bahamas,2000,YEAR,Male,RATE_PER_100000,35.24214,28.96622,42.60133,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,70,Bosnia and Herzegovina,2000,YEAR,Total,RATE_PER_100000,2.82352,1.49847,4.74701,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,70,Bosnia and Herzegovina,2000,YEAR,Female,RATE_PER_100000,1.38285,0.74136,2.34997,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,70,Bosnia and Herzegovina,2000,YEAR,Male,RATE_PER_100000,4.31735,2.28351,7.23249,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,112,Belarus,2000,YEAR,Total,RATE_PER_100000,13.3556,11.59113,15.30518,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,112,Belarus,2000,YEAR,Female,RATE_PER_100000,9.36525,8.08809,10.75619,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,112,Belarus,2000,YEAR,Male,RATE_PER_100000,17.86565,15.5504,20.44662,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,84,Belize,2000,YEAR,Total,RATE_PER_100000,21.72436,17.93477,26.16561,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,84,Belize,2000,YEAR,Female,RATE_PER_100000,6.99973,5.36715,8.93995,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,84,Belize,2000,YEAR,Male,RATE_PER_100000,36.24535,30.32859,43.15304,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,68,Bolivia (Plurinational State of),2000,YEAR,Total,RATE_PER_100000,7.14092,4.10344,11.47079,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,68,Bolivia (Plurinational State of),2000,YEAR,Female,RATE_PER_100000,2.59721,1.42148,4.36358,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,68,Bolivia (Plurinational State of),2000,YEAR,Male,RATE_PER_100000,11.6295,6.75287,18.49179,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,76,Brazil,2000,YEAR,Total,RATE_PER_100000,32.31853,31.08781,33.6078,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,76,Brazil,2000,YEAR,Female,RATE_PER_100000,5.85736,5.52685,6.20432,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,76,Brazil,2000,YEAR,Male,RATE_PER_100000,59.27696,57.12913,61.52625,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,52,Barbados,2000,YEAR,Total,RATE_PER_100000,9.81212,7.48055,12.55322,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,52,Barbados,2000,YEAR,Female,RATE_PER_100000,5.3037,3.92029,7.00393,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,52,Barbados,2000,YEAR,Male,RATE_PER_100000,14.68712,11.33029,18.55371,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,96,Brunei Darussalam,2000,YEAR,Total,RATE_PER_100000,1.5623,0.97564,2.37701,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,96,Brunei Darussalam,2000,YEAR,Female,RATE_PER_100000,1.08915,0.67552,1.67847,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,96,Brunei Darussalam,2000,YEAR,Male,RATE_PER_100000,2.0233,1.26805,3.05762,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,64,Bhutan,2000,YEAR,Total,RATE_PER_100000,3.32345,1.77309,5.49294,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,64,Bhutan,2000,YEAR,Female,RATE_PER_100000,1.81614,0.93781,3.14808,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,64,Bhutan,2000,YEAR,Male,RATE_PER_100000,4.76318,2.57091,7.73268,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,72,Botswana,2000,YEAR,Total,RATE_PER_100000,16.01624,7.62697,26.77131,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,72,Botswana,2000,YEAR,Female,RATE_PER_100000,2.99434,1.09249,6.16466,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,72,Botswana,2000,YEAR,Male,RATE_PER_100000,29.89709,14.59247,48.73719,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,140,Central African Republic,2000,YEAR,Total,RATE_PER_100000,24.06075,10.38903,49.52171,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,140,Central African Republic,2000,YEAR,Female,RATE_PER_100000,9.13665,3.81233,18.53753,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,140,Central African Republic,2000,YEAR,Male,RATE_PER_100000,39.40367,17.15029,81.37541,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,124,Canada,2000,YEAR,Total,RATE_PER_100000,1.77676,1.5466,2.03507,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,124,Canada,2000,YEAR,Female,RATE_PER_100000,0.73434,0.60792,0.87991,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,124,Canada,2000,YEAR,Male,RATE_PER_100000,2.83869,2.50286,3.21187,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,756,Switzerland,2000,YEAR,Total,RATE_PER_100000,1.0529,0.85146,1.28724,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,756,Switzerland,2000,YEAR,Female,RATE_PER_100000,0.84072,0.67718,1.03067,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,756,Switzerland,2000,YEAR,Male,RATE_PER_100000,1.27499,1.0339,1.5558,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,152,Chile,2000,YEAR,Total,RATE_PER_100000,5.67388,4.88143,6.57433,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,152,Chile,2000,YEAR,Female,RATE_PER_100000,1.28073,1.01775,1.58718,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,152,Chile,2000,YEAR,Male,RATE_PER_100000,10.21021,8.87104,11.72403,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,156,China,2000,YEAR,Total,RATE_PER_100000,2.33057,1.97543,2.73848,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,156,China,2000,YEAR,Female,RATE_PER_100000,1.85138,1.56451,2.18292,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,156,China,2000,YEAR,Male,RATE_PER_100000,2.78551,2.36554,3.26592,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,384,Côte d'Ivoire,2000,YEAR,Total,RATE_PER_100000,14.48728,7.39063,25.51506,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,384,Côte d'Ivoire,2000,YEAR,Female,RATE_PER_100000,10.02833,4.71054,18.61533,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,384,Côte d'Ivoire,2000,YEAR,Male,RATE_PER_100000,18.68178,9.91177,32.00558,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,120,Cameroon,2000,YEAR,Total,RATE_PER_100000,9.52118,5.06521,16.01024,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,120,Cameroon,2000,YEAR,Female,RATE_PER_100000,3.91361,1.99899,6.94433,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,120,Cameroon,2000,YEAR,Male,RATE_PER_100000,15.17915,8.15899,25.15764,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,180,Democratic Republic of the Congo,2000,YEAR,Total,RATE_PER_100000,14.45736,10.47254,20.13354,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,180,Democratic Republic of the Congo,2000,YEAR,Female,RATE_PER_100000,6.55333,4.44127,9.68453,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,180,Democratic Republic of the Congo,2000,YEAR,Male,RATE_PER_100000,22.49252,16.60386,30.7559,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,178,Congo,2000,YEAR,Total,RATE_PER_100000,12.35355,5.06422,23.69555,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,178,Congo,2000,YEAR,Female,RATE_PER_100000,5.12059,2.04243,9.98739,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,178,Congo,2000,YEAR,Male,RATE_PER_100000,19.77755,8.16583,37.76575,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,170,Colombia,2000,YEAR,Total,RATE_PER_100000,92.33271,88.35321,96.47098,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,170,Colombia,2000,YEAR,Female,RATE_PER_100000,13.56538,12.65286,14.52546,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,170,Colombia,2000,YEAR,Male,RATE_PER_100000,174.2437,167.0748,181.687,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,174,Comoros,2000,YEAR,Total,RATE_PER_100000,10.69392,4.23847,20.085,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,174,Comoros,2000,YEAR,Female,RATE_PER_100000,5.54623,2.25446,10.63932,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,174,Comoros,2000,YEAR,Male,RATE_PER_100000,15.77845,6.19812,29.41477,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,132,Cabo Verde,2000,YEAR,Total,RATE_PER_100000,9.25276,5.09394,15.09234,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,132,Cabo Verde,2000,YEAR,Female,RATE_PER_100000,4.0137,2.03616,6.94929,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,132,Cabo Verde,2000,YEAR,Male,RATE_PER_100000,14.90278,8.39159,23.87415,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,188,Costa Rica,2000,YEAR,Total,RATE_PER_100000,6.3336,5.44036,7.33495,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,188,Costa Rica,2000,YEAR,Female,RATE_PER_100000,2.26683,1.80325,2.8078,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,188,Costa Rica,2000,YEAR,Male,RATE_PER_100000,10.36985,9.05017,11.82813,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,192,Cuba,2000,YEAR,Total,RATE_PER_100000,5.47183,4.76109,6.25629,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,192,Cuba,2000,YEAR,Female,RATE_PER_100000,2.86083,2.41692,3.35181,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,192,Cuba,2000,YEAR,Male,RATE_PER_100000,8.098,7.11889,9.17764,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,196,Cyprus,2000,YEAR,Total,RATE_PER_100000,1.91356,1.16408,2.92829,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,196,Cyprus,2000,YEAR,Female,RATE_PER_100000,1.3068,0.78611,2.02173,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,196,Cyprus,2000,YEAR,Male,RATE_PER_100000,2.51067,1.53604,3.82043,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,203,Czechia,2000,YEAR,Total,RATE_PER_100000,1.60231,1.33408,1.90971,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,203,Czechia,2000,YEAR,Female,RATE_PER_100000,1.0805,0.88555,1.30452,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,203,Czechia,2000,YEAR,Male,RATE_PER_100000,2.15314,1.80754,2.54855,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,276,Germany,2000,YEAR,Total,RATE_PER_100000,1.18771,1.01624,1.38228,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,276,Germany,2000,YEAR,Female,RATE_PER_100000,0.6824,0.58248,0.7927,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,276,Germany,2000,YEAR,Male,RATE_PER_100000,1.72004,1.47319,2.00338,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,262,Djibouti,2000,YEAR,Total,RATE_PER_100000,8.75964,3.86973,16.45652,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,262,Djibouti,2000,YEAR,Female,RATE_PER_100000,4.10005,1.75341,7.99899,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,262,Djibouti,2000,YEAR,Male,RATE_PER_100000,13.36833,5.96293,24.82166,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,208,Denmark,2000,YEAR,Total,RATE_PER_100000,1.40886,1.14345,1.71526,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,208,Denmark,2000,YEAR,Female,RATE_PER_100000,0.81872,0.65865,1.00502,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,208,Denmark,2000,YEAR,Male,RATE_PER_100000,2.01136,1.63842,2.44038,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,214,Dominican Republic,2000,YEAR,Total,RATE_PER_100000,17.25349,13.47958,21.82607,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,214,Dominican Republic,2000,YEAR,Female,RATE_PER_100000,4.97132,3.66258,6.60583,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,214,Dominican Republic,2000,YEAR,Male,RATE_PER_100000,29.48363,23.25501,36.98184,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,12,Algeria,2000,YEAR,Total,RATE_PER_100000,2.16562,1.22344,3.57778,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,12,Algeria,2000,YEAR,Female,RATE_PER_100000,1.09799,0.60615,1.87105,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,12,Algeria,2000,YEAR,Male,RATE_PER_100000,3.20475,1.82424,5.23894,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,218,Ecuador,2000,YEAR,Total,RATE_PER_100000,23.45392,18.94939,28.14827,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,218,Ecuador,2000,YEAR,Female,RATE_PER_100000,3.68813,2.70893,4.93987,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,218,Ecuador,2000,YEAR,Male,RATE_PER_100000,43.06694,35.06433,51.1773,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,818,Egypt,2000,YEAR,Total,RATE_PER_100000,3.56514,1.98548,6.05011,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,818,Egypt,2000,YEAR,Female,RATE_PER_100000,2.03217,1.09469,3.46189,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,818,Egypt,2000,YEAR,Male,RATE_PER_100000,5.07736,2.86421,8.60328,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,957,Eastern Mediterranean,2000,YEAR,Total,RATE_PER_100000,6.20166,3.76846,9.53121,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,957,Eastern Mediterranean,2000,YEAR,Female,RATE_PER_100000,3.24105,1.97232,5.17341,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,957,Eastern Mediterranean,2000,YEAR,Male,RATE_PER_100000,9.02194,5.47945,13.68244,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,232,Eritrea,2000,YEAR,Total,RATE_PER_100000,14.32413,6.39918,27.22135,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,232,Eritrea,2000,YEAR,Female,RATE_PER_100000,6.78179,3.1693,12.75472,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,232,Eritrea,2000,YEAR,Male,RATE_PER_100000,21.93439,9.65816,41.81828,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,724,Spain,2000,YEAR,Total,RATE_PER_100000,1.37522,1.17259,1.60173,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,724,Spain,2000,YEAR,Female,RATE_PER_100000,0.73966,0.61151,0.88287,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,724,Spain,2000,YEAR,Male,RATE_PER_100000,2.03431,1.75445,2.34723,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,233,Estonia,2000,YEAR,Total,RATE_PER_100000,14.72591,12.52584,17.12988,PUBLISHED
